fold,epoch,learning_rate,train_loss,valid_loss,accuracy,precision_macro,recall_macro,f1_macro,qwk,dice_macro,early_stopping_counter,early_stopped
1,1,0.01,2.591825638881604,2.8159328082512163,0.3711072664359862,0.38715590922487475,0.2948856918439348,0.2881150825645772,0.3635920440278736,0.2881150825645772,0,False
1,2,9.970689785771798e-05,1.8858406740695135,1.7407424281383383,0.5302768166089965,0.5120282740945313,0.46609277245203484,0.46841620934329226,0.6024816412336762,0.46841620934329226,0,False
1,3,9.883102778550433e-05,1.546241382517204,1.501469990713843,0.606401384083045,0.6167773677173581,0.5199054731765027,0.5246836940275473,0.6848584225554617,0.5246836940275473,0,False
1,4,9.738265855914012e-05,1.4590021442995764,1.4530100518259508,0.6055363321799307,0.6085097122174788,0.5709030256581762,0.5604288103413237,0.6903342576756388,0.5604288103413237,0,False
1,5,9.537877098354786e-05,1.38668913731938,1.3812605746861162,0.6358131487889274,0.6559693360634803,0.6077694885711703,0.6232763441979696,0.7487066830260378,0.6232763441979696,0,False
1,6,9.284285880837946e-05,1.340091722646799,1.6304478032835599,0.6314878892733564,0.6535388874671733,0.6076659164055026,0.6024516990413549,0.7338215441479345,0.6024516990413549,1,False
1,7,8.980465328528219e-05,1.3150652468616988,1.3811737122206853,0.6314878892733564,0.6425958389293372,0.5506629726757533,0.5580017851157524,0.7370688345082337,0.5580017851157524,0,False
1,8,8.629977459615654e-05,1.28263199597494,1.3324937129842824,0.6522491349480969,0.6584735717591205,0.6440115313284076,0.6342859666405175,0.7695164745021191,0.6342859666405175,0,False
1,9,8.236931423909138e-05,1.2513457595477055,1.3009568173309853,0.6695501730103807,0.661800392944088,0.6736890943145026,0.6617168138166837,0.7904252956216854,0.6617168138166837,0,False
1,10,7.805935326811912e-05,1.2131515509323265,1.3442039592512722,0.6513840830449827,0.6372328575711262,0.6382979135194263,0.6257038952664402,0.7840672534831407,0.6257038952664402,1,False
1,11,7.34204220349895e-05,1.1915100863441876,1.3724216366636341,0.643598615916955,0.6695344129554657,0.6419472854857491,0.6376102769991578,0.7515817656591277,0.6376102769991578,2,False
1,12,6.850690776699573e-05,1.152806997608561,1.3532440621277382,0.6522491349480969,0.6916584204654947,0.6470896058211435,0.6595844299715442,0.7772030054647636,0.6595844299715442,3,False
1,13,6.337641692646103e-05,1.1020723307524585,1.3467467275159113,0.6634948096885813,0.667102550804653,0.6544042133016499,0.6417414621275452,0.7880435754789546,0.6417414621275452,4,False
1,14,5.8089099827638234e-05,1.0569326045397656,1.3565273765859933,0.6522491349480969,0.6666110165077895,0.6476231091501348,0.6477730550607632,0.7833266337928911,0.6477730550607632,5,False
1,15,5.2706945429270875e-05,1.0241129369471724,1.3839020675626295,0.6427335640138409,0.6596766435591522,0.6161672602851708,0.6293127957968048,0.7789252822302407,0.6293127957968048,6,False
1,16,4.729305457072914e-05,0.9773408464288217,1.3388324926639426,0.6643598615916955,0.6749992903235746,0.6705093539481972,0.6674148352940843,0.7945618810033027,0.6674148352940843,7,True
2,1,0.01,2.5752903161164387,2.3557461237085278,0.35726643598615915,0.34455183487058616,0.3373672350932399,0.32534549065912244,0.4373659033899623,0.32534549065912244,0,False
2,2,9.970689785771798e-05,1.8566844989271725,1.6078434993480815,0.5579584775086506,0.5418213235574904,0.47368833958019696,0.47876438819200684,0.625685214836839,0.47876438819200684,0,False
2,3,9.883102778550433e-05,1.5683722541406493,1.5193498969078063,0.583044982698962,0.556526425960855,0.5450005027539349,0.5302783388948542,0.6904891875907839,0.5302783388948542,0,False
2,4,9.738265855914012e-05,1.4333402836199038,1.6116027486735376,0.5908304498269896,0.6129734173596209,0.5602706770887212,0.5708519038763316,0.6972827933476787,0.5708519038763316,1,False
2,5,9.537877098354786e-05,1.3821449935642494,1.501552673043876,0.6237024221453287,0.6420138544320741,0.5916305935850401,0.5799133720699443,0.7204646946277642,0.5799133720699443,0,False
2,6,9.284285880837946e-05,1.3298508202122157,1.4626304622354178,0.6098615916955017,0.6575268837117424,0.5760834151892713,0.5906580463487423,0.7035350295342306,0.5906580463487423,0,False
2,7,8.980465328528219e-05,1.27737336732112,1.3892550780855377,0.6314878892733564,0.6366543922441877,0.613573436341831,0.6171461139111523,0.7567928385977306,0.6171461139111523,0,False
2,8,8.629977459615654e-05,1.2584303066804747,1.3821571136343067,0.6349480968858131,0.6632282000302452,0.6027757942164502,0.6226076851963652,0.7674634041244437,0.6226076851963652,0,False
