,precision,recall,f1-score,support
0,0.7596401028277635,0.9248826291079812,0.8341566690190544,639.0
1,0.5271317829457365,0.22972972972972974,0.32,296.0
2,0.7221095334685599,0.796420581655481,0.7574468085106383,447.0
3,0.8701923076923077,0.8116591928251121,0.839907192575406,223.0
4,0.8958333333333334,0.8431372549019608,0.8686868686868687,51.0
accuracy,0.7481884057971014,0.7481884057971014,0.7481884057971014,0.7481884057971014
macro avg,0.7549814120535403,0.721165877644053,0.7240395077583935,1656.0
weighted avg,0.7270316301538102,0.7481884057971014,0.7233859717118218,1656.0
