fold,epoch,learning_rate,train_loss,valid_loss,accuracy,precision_macro,recall_macro,f1_macro,dice_macro,early_stopping_counter,early_stopped
1,1,0.01,1.9025675945215985,3.285773725345217,0.2967128027681661,0.29822410524413934,0.41453879412960176,0.2620049198300019,0.2620049198300019,0,False
1,2,0.001,1.7039693386703214,1.5728038384996612,0.18079584775086505,0.03615916955017301,0.2,0.06124542124542125,0.06124542124542125,0,False
1,3,0.0001,1.5139031232847062,1.453345880015143,0.39705882352941174,0.14043397161948384,0.20847853344286396,0.1472837022132797,0.1472837022132797,0,False
1,4,0.0001,1.4493538830107058,1.4496772042636215,0.3961937716262976,0.07923875432525952,0.2,0.11350681536555143,0.11350681536555143,0,False
1,5,0.0001,1.4502935465231899,1.452493195698179,0.3961937716262976,0.07923875432525952,0.2,0.11350681536555143,0.11350681536555143,1,False
1,6,0.0001,1.4615023523878474,1.4541623904787262,0.3961937716262976,0.07923875432525952,0.2,0.11350681536555143,0.11350681536555143,2,False
1,7,0.0001,1.4543536237366885,1.4500824270577266,0.3961937716262976,0.07923875432525952,0.2,0.11350681536555143,0.11350681536555143,3,False
1,8,0.0001,1.454762163665468,1.451638100887167,0.3961937716262976,0.07923875432525952,0.2,0.11350681536555143,0.11350681536555143,4,False
1,9,0.0001,1.4544742773560917,1.4640168543519645,0.3961937716262976,0.07923875432525952,0.2,0.11350681536555143,0.11350681536555143,5,False
1,10,0.0001,1.4544580666457905,1.4514396017995375,0.3961937716262976,0.07923875432525952,0.2,0.11350681536555143,0.11350681536555143,6,False
1,11,0.0001,1.455292590864802,1.4533070490278046,0.3961937716262976,0.07923875432525952,0.2,0.11350681536555143,0.11350681536555143,7,True
2,1,0.01,1.8689015798502728,1.7128667638219637,0.4437716262975779,0.40425163879984993,0.35137856399743306,0.33751873848716407,0.33751873848716407,0,False
2,2,0.001,1.746878072567877,1.4961687408644577,0.3953287197231834,0.07920277296360485,0.2,0.11346989447548106,0.11346989447548106,0,False
2,3,0.0001,1.5703017087749955,1.6581319677418676,0.3953287197231834,0.11263768115942027,0.20088686654977034,0.11605119322708372,0.11605119322708372,1,False
