fold,epoch,learning_rate,train_loss,valid_loss,accuracy,precision_macro,recall_macro,f1_macro,qwk,dice_macro,early_stopping_counter,early_stopped
1,1,0.01,2.829146617424117,3.076747244802015,0.4731833910034602,0.24706893726810225,0.3435781918803234,0.28523682745142354,0.4247823779580594,0.28523682745142354,0,False
1,2,9.970689785771798e-05,1.6698032791845527,1.4147123723194517,0.6167820069204152,0.5594800068213484,0.64356323731565,0.5737732950211819,0.7530339559460123,0.5737732950211819,0,False
1,3,9.883102778550433e-05,1.361940363183566,1.2574122030159522,0.6833910034602076,0.6768923525131154,0.67835749005699,0.6434280274792857,0.8032967951108475,0.6434280274792857,0,False
1,4,9.738265855914012e-05,1.3145333244932564,1.2675144951919028,0.6747404844290658,0.6004971856694273,0.6719840673773655,0.6070855920043098,0.8135596184450606,0.6070855920043098,1,False
1,5,9.537877098354786e-05,1.256945914772555,1.2051962182439606,0.7093425605536332,0.7280162165771646,0.7240280821155055,0.7228041208727314,0.8456506370380432,0.7228041208727314,0,False
1,6,9.284285880837946e-05,1.2072690151966978,1.2281457555705104,0.6877162629757786,0.6836940183483374,0.7006705808803109,0.6874143211187457,0.82370981699981,0.6874143211187457,1,False
1,7,8.980465328528219e-05,1.1612383292208082,1.2104857325553895,0.7058823529411765,0.7301400949208722,0.6781232367024546,0.6869312499242047,0.8216580523329786,0.6869312499242047,2,False
1,8,8.629977459615654e-05,1.1315817960818333,1.2217711896731935,0.7032871972318339,0.6560593078269694,0.7109397255280169,0.6683322230146042,0.8484165180554099,0.6683322230146042,3,False
1,9,8.236931423909138e-05,1.0957424800494964,1.1940410638677663,0.7032871972318339,0.7421900023167162,0.7397800152991466,0.7402043775403395,0.8483137050773202,0.7402043775403395,0,False
1,10,7.805935326811912e-05,1.0484658795244552,1.1822936321127004,0.7084775086505191,0.737699790530675,0.7041223779612664,0.7157975486303882,0.8472066147230666,0.7157975486303882,0,False
1,11,7.34204220349895e-05,1.0020271978473168,1.230526392624296,0.7015570934256056,0.7025239407186232,0.7211745005210063,0.704452870027944,0.8458646818255473,0.704452870027944,1,False
1,12,6.850690776699573e-05,0.9648909422353065,1.2270408235747239,0.6963667820069204,0.7351371438359797,0.7099096841684924,0.7170843019108188,0.8367766426054933,0.7170843019108188,2,False
1,13,6.337641692646103e-05,0.8966678207720852,1.2606021794779547,0.6885813148788927,0.7290614715535143,0.7195602393938059,0.7220687588077666,0.8433103966813023,0.7220687588077666,3,False
1,14,5.8089099827638234e-05,0.8417400913151902,1.3183505426193105,0.6894463667820069,0.7203897330450116,0.6434788106126901,0.6655631689529524,0.8234012762094425,0.6655631689529524,4,False
1,15,5.2706945429270875e-05,0.7755792452905418,1.2867540371829065,0.6946366782006921,0.7102085614593461,0.6932691372684403,0.698729823704827,0.8424519815587505,0.698729823704827,5,False
1,16,4.729305457072914e-05,0.694442868181166,1.2756890114011437,0.7136678200692042,0.734860202040512,0.7223041989261376,0.7254818860251456,0.8486643739545129,0.7254818860251456,6,False
1,17,4.1910900172361764e-05,0.6363486200055449,1.3000427519452984,0.7058823529411765,0.7314663744552585,0.7213356475489693,0.7257045279965935,0.8387239428137023,0.7257045279965935,7,True
2,1,0.01,3.0179996517290295,3.6757549113240735,0.2301038062283737,0.2730416123424598,0.28265471991864216,0.162433835792848,0.2933795609816937,0.162433835792848,0,False
2,2,9.970689785771798e-05,1.737972622202342,1.6009012427823297,0.5769896193771626,0.5531923673191101,0.5809358245414252,0.46556587321510834,0.7206688244857777,0.46556587321510834,0,False
2,3,9.883102778550433e-05,1.3327936839479888,1.3975252747535705,0.6496539792387543,0.6876619132582868,0.5669575238754143,0.5632454170901431,0.7549491087380281,0.5632454170901431,0,False
2,4,9.738265855914012e-05,1.2662864512019505,1.2674786970533174,0.6799307958477508,0.6648287487395994,0.6678587435598081,0.6565443127046701,0.8125008828734656,0.6565443127046701,0,False
2,5,9.537877098354786e-05,1.2035278542850256,1.4347655481305617,0.639273356401384,0.6490172435927851,0.6372867240910932,0.617013590613206,0.7599353896876454,0.617013590613206,1,False
2,6,9.284285880837946e-05,1.178396743474122,1.2370666586119554,0.6972318339100346,0.6661354885402533,0.6876423603432615,0.6589164990344626,0.8320407690900435,0.6589164990344626,0,False
2,7,8.980465328528219e-05,1.1484329036362857,1.3845961874928967,0.6548442906574394,0.665477804722245,0.669228253750395,0.6616605977431099,0.7901860854683151,0.6616605977431099,1,False
2,8,8.629977459615654e-05,1.099652126895515,1.264280996651485,0.6885813148788927,0.688177462747476,0.7004870143922906,0.6917941457574239,0.8187877940581167,0.6917941457574239,2,False
2,9,8.236931423909138e-05,1.0575668395184317,1.324140034050777,0.6686851211072664,0.649664563909364,0.6755968319143729,0.6584000828241621,0.8121782642886616,0.6584000828241621,3,False
2,10,7.805935326811912e-05,1.0266871916381546,1.285072581521396,0.6756055363321799,0.7124660777431041,0.6580903684500723,0.6807662228424027,0.8149933039317044,0.6807662228424027,4,False
2,11,7.34204220349895e-05,0.9923149051344519,1.2747227502280267,0.6799307958477508,0.6721399793996454,0.6854313021712255,0.676503091843084,0.8217300799465811,0.676503091843084,5,False
2,12,6.850690776699573e-05,0.9328486069675961,1.3166270712326313,0.6842560553633218,0.6875571597089041,0.6749719400310652,0.6780872584028921,0.8241776558236151,0.6780872584028921,6,False
2,13,6.337641692646103e-05,0.873827263712883,1.5056117232503563,0.6444636678200693,0.6169631574504011,0.6591641341594418,0.6177977021769763,0.7826902252858992,0.6177977021769763,7,True
3,1,0.01,2.8290519693731024,2.1100845809640556,0.5,0.38238759908655295,0.3446630682983898,0.30393703383189125,0.5074980992842134,0.30393703383189125,0,False
3,2,9.970689785771798e-05,1.6125876467326934,1.3167005045660611,0.6453287197231834,0.6494425616298942,0.6567143570464649,0.6470417832454334,0.8020335328224844,0.6470417832454334,0,False
3,3,9.883102778550433e-05,1.3492281255425054,1.206717112146575,0.6955017301038062,0.7206047032297833,0.6697637812328885,0.6738896570575016,0.825130629409122,0.6738896570575016,0,False
3,4,9.738265855914012e-05,1.2759106246864094,1.2138784720979887,0.6929065743944637,0.6842962224578615,0.6634117422048014,0.6349223050583876,0.8062541652121481,0.6349223050583876,1,False
3,5,9.537877098354786e-05,1.2152376390452204,1.2492818811844135,0.6825259515570934,0.7085687229597364,0.5972219419110314,0.6028297259216545,0.812383738592337,0.6028297259216545,2,False
3,6,9.284285880837946e-05,1.1898223033825832,1.2491674242348507,0.6695501730103807,0.6368299415986326,0.6740066390829756,0.6396688348645442,0.80371828127685,0.6396688348645442,3,False
3,7,8.980465328528219e-05,1.1503072042778701,1.1962194052235833,0.6946366782006921,0.7371513267048896,0.6857556893814085,0.7015230252255772,0.8369286993216265,0.7015230252255772,0,False
3,8,8.629977459615654e-05,1.1004485657058372,1.2608916358701114,0.6911764705882353,0.7387011034881225,0.6357642010789498,0.635271859935569,0.8177235907967849,0.635271859935569,1,False
3,9,8.236931423909138e-05,1.0695834240286408,1.2844044130423973,0.6955017301038062,0.7055609824209068,0.6452868335120211,0.6514696782121199,0.818437633198729,0.6514696782121199,2,False
3,10,7.805935326811912e-05,1.028483487330506,1.2344920783207334,0.6998269896193772,0.7091554791380679,0.7009908781084856,0.6983237542312908,0.8404175557406315,0.6983237542312908,3,False
3,11,7.34204220349895e-05,0.9508697007457277,1.2072632103130736,0.7015570934256056,0.724099428129058,0.6896348974859563,0.7043345618977297,0.8382279873845019,0.7043345618977297,4,False
3,12,6.850690776699573e-05,0.9248908436937728,1.2732211096533415,0.6885813148788927,0.7256492485888115,0.7010566298062761,0.7099072062188726,0.8390967950724212,0.7099072062188726,5,False
3,13,6.337641692646103e-05,0.8405486862964696,1.296210909300837,0.6851211072664359,0.7258058237123559,0.6912288363001124,0.7019854813232114,0.8277808568544753,0.7019854813232114,6,False
3,14,5.8089099827638234e-05,0.7615820397348965,1.3165943569150464,0.6825259515570934,0.7020027887464464,0.6569947409468133,0.6721547998087436,0.8239378921072804,0.6721547998087436,7,True
4,1,0.01,2.9302669029334836,2.98607515384411,0.3012987012987013,0.2761048198533762,0.2640059468344623,0.21017683694214076,0.3227361262421181,0.21017683694214076,0,False
4,2,9.970689785771798e-05,1.5862244463503155,1.2969676753570294,0.6718614718614718,0.6842191570208237,0.6022486779810485,0.62645766511251,0.7944562685391564,0.62645766511251,0,False
4,3,9.883102778550433e-05,1.3410218511691967,1.349797146073703,0.6658008658008658,0.6910026409513303,0.6612340596370034,0.6350311216538495,0.7700952927162836,0.6350311216538495,1,False
4,4,9.738265855914012e-05,1.267701917556743,1.1982225500304124,0.6978354978354978,0.6907057433012846,0.646145277435657,0.6280245675289736,0.8319190943269412,0.6280245675289736,0,False
4,5,9.537877098354786e-05,1.2231910195730136,1.20769526670719,0.7012987012987013,0.7267192569487314,0.6668313034330308,0.6906922387237768,0.8377119920860078,0.6906922387237768,1,False
4,6,9.284285880837946e-05,1.1856832516647127,1.2168979850308648,0.7004329004329004,0.7367442896772264,0.6082011711749655,0.6407401145062688,0.8318689080378585,0.6407401145062688,2,False
4,7,8.980465328528219e-05,1.1686884541206295,1.1959173194293318,0.6995670995670996,0.7278128555500312,0.6735862001528279,0.6905184100658446,0.8341894034931993,0.6905184100658446,0,False
4,8,8.629977459615654e-05,1.1157870472096243,1.2589694787716044,0.6909090909090909,0.7097597820703929,0.649700208062009,0.6675723937410234,0.8329843563292735,0.6675723937410234,1,False
4,9,8.236931423909138e-05,1.073923530256872,1.1854675486170012,0.70995670995671,0.7396666103764866,0.6803084669253046,0.7028308149645027,0.8435005055499998,0.7028308149645027,0,False
4,10,7.805935326811912e-05,1.0308538262303726,1.3599055191566205,0.6285714285714286,0.7176499192044075,0.5611505952134394,0.5983877280939285,0.7891694554304838,0.5983877280939285,1,False
4,11,7.34204220349895e-05,0.9877974323438525,1.225918706943249,0.69004329004329,0.7375639795814868,0.6578250957382628,0.6869271641375283,0.83266351105951,0.6869271641375283,2,False
4,12,6.850690776699573e-05,0.928828955521633,1.2211792888312505,0.70995670995671,0.7043830425229839,0.7101946784770001,0.7026222424845049,0.8466795557753698,0.7026222424845049,3,False
4,13,6.337641692646103e-05,0.877944864100651,1.2128634296614549,0.7082251082251082,0.7122414478013679,0.6924275023650349,0.6894116500813424,0.8330075031945916,0.6894116500813424,4,False
4,14,5.8089099827638234e-05,0.7974967107331464,1.279003200859859,0.70995670995671,0.7228531425800697,0.708588528809727,0.7147440174513917,0.8468224645411974,0.7147440174513917,5,False
4,15,5.2706945429270875e-05,0.7239140971309174,1.3409511907347318,0.7038961038961039,0.7150688146653461,0.6911199996370639,0.6946700361274206,0.8326846508298662,0.6946700361274206,6,False
4,16,4.729305457072914e-05,0.6523115229132266,1.3316930885972649,0.6805194805194805,0.7162422162769134,0.6843820343446434,0.6983120165521761,0.8315471878903331,0.6983120165521761,7,True
5,1,0.01,2.8946419755274038,2.7551634015708135,0.3212121212121212,0.39649871825718624,0.2779578533691213,0.21791573889163618,0.3622032976988584,0.21791573889163618,0,False
5,2,9.970689785771798e-05,1.6395634097211502,1.2912207122506767,0.6692640692640692,0.6831583879370027,0.617706278269534,0.5900941893808105,0.7930179996187675,0.5900941893808105,0,False
5,3,9.883102778550433e-05,1.35677231946206,1.2575171421314109,0.6805194805194805,0.6607594078555102,0.6528365626768013,0.6335074787066424,0.8080511505100532,0.6335074787066424,0,False
5,4,9.738265855914012e-05,1.272314444545231,1.3333991490561388,0.664069264069264,0.634172993058772,0.5988195583349651,0.579789806789372,0.7916946161546321,0.579789806789372,1,False
5,5,9.537877098354786e-05,1.2134374284208027,1.2768527470785995,0.6787878787878788,0.6083212313612314,0.6499751875791193,0.595382665486739,0.8021142845592546,0.595382665486739,2,False
5,6,9.284285880837946e-05,1.1938401557582472,1.2287762387045498,0.6926406926406926,0.6849212916541048,0.679042048069424,0.6719768173892608,0.8288492706645056,0.6719768173892608,0,False
5,7,8.980465328528219e-05,1.15411358071446,1.4540774448164577,0.6251082251082251,0.6374224582333522,0.6529380658730322,0.6338179837902753,0.7651622974151784,0.6338179837902753,1,False
