,precision,recall,f1-score,support
0,0.7292682926829268,0.9358372456964006,0.8197395476353667,639.0
1,0.4424778761061947,0.16891891891891891,0.24449877750611246,296.0
2,0.7278617710583153,0.7539149888143176,0.7406593406593407,447.0
3,0.8591549295774648,0.820627802690583,0.8394495412844036,223.0
4,0.8936170212765957,0.8235294117647058,0.8571428571428571,51.0
accuracy,0.7306763285024155,0.7306763285024155,0.7306763285024155,0.7306763285024155
macro avg,0.7304759781402994,0.7005656735769852,0.7002980128456161,1656.0
weighted avg,0.7001788160602488,0.7306763285024155,0.6993789056619818,1656.0
