fold,epoch,learning_rate,train_loss,valid_loss,accuracy,precision_macro,recall_macro,f1_macro,qwk,dice_macro,early_stopping_counter,early_stopped
1,1,0.01,2.63834829602687,3.1632304216253346,0.33391003460207613,0.4646204211392063,0.2569488467154907,0.24312677357078005,0.25884753910829106,0.24312677357078005,0,False
1,2,9.970689785771798e-05,1.738261774337003,1.4439735301609697,0.620242214532872,0.5520110020037455,0.5219488660810637,0.5138637513585327,0.7331187085780175,0.5138637513585327,0,False
1,3,9.883102778550433e-05,1.4099862606467672,1.3231350980955978,0.6608996539792388,0.6830502150854383,0.6340109744549116,0.6458626210856264,0.7816418215233817,0.6458626210856264,0,False
1,4,9.738265855914012e-05,1.3147736487710353,1.3075094938278198,0.6678200692041523,0.686869682922796,0.652864937136124,0.6468359019473187,0.7803988257160672,0.6468359019473187,0,False
1,5,9.537877098354786e-05,1.2386429014915414,1.273957845260357,0.6894463667820069,0.6801672911843882,0.6733709851455821,0.6555522815915419,0.8091428548205526,0.6555522815915419,0,False
1,6,9.284285880837946e-05,1.185253471032971,1.2293137620235313,0.6955017301038062,0.7194913008006167,0.6748995998867621,0.6891317717645132,0.816082346615344,0.6891317717645132,0,False
1,7,8.980465328528219e-05,1.1303792126657228,1.2782931899202281,0.6885813148788927,0.6886070691476248,0.7118308263412767,0.6863346286327313,0.8237877453112491,0.6863346286327313,1,False
1,8,8.629977459615654e-05,1.0681149614104763,1.2721902674642103,0.671280276816609,0.7087906365444727,0.6839256736234687,0.6864135117646175,0.8172760238020857,0.6864135117646175,2,False
1,9,8.236931423909138e-05,1.0060666616503342,1.2927242747668561,0.6747404844290658,0.6543789241464528,0.6765375343185192,0.6565294023050121,0.808793739994119,0.6565294023050121,3,False
1,10,7.805935326811912e-05,0.9318296506639996,1.2832977220929902,0.6678200692041523,0.6847836470195372,0.6620164962949736,0.6683896521931112,0.795352310185944,0.6683896521931112,4,False
1,11,7.34204220349895e-05,0.8734353395584957,1.4062904251032862,0.6505190311418685,0.7223606395509062,0.6431092760716045,0.6735238889063172,0.7953414674606307,0.6735238889063172,5,False
1,12,6.850690776699573e-05,0.7901677419157589,1.4221214812377403,0.6626297577854672,0.669965278161317,0.6862256438787717,0.6674695644638527,0.7815120274914089,0.6674695644638527,6,False
1,13,6.337641692646103e-05,0.7267142064534257,1.4364454849012966,0.6487889273356401,0.6827308862775772,0.6885460125381736,0.6849227094184429,0.7949346742170688,0.6849227094184429,7,True
2,1,0.01,2.690434276645159,2.5795756019394975,0.3892733564013841,0.3430086756622798,0.25927384581521695,0.25065273916023695,0.31227329628199274,0.25065273916023695,0,False
2,2,9.970689785771798e-05,1.7340197103246273,1.559528542798141,0.5813148788927336,0.5609913761196239,0.46734746743845834,0.47053056630386686,0.6703147200268176,0.47053056630386686,0,False
2,3,9.883102778550433e-05,1.4247021829793198,1.4253421923209881,0.620242214532872,0.62058644731272,0.6025851255467479,0.5967486669567676,0.7487820485474169,0.5967486669567676,0,False
